Error_NR Error_NR_EX
1.6307249521171e-09 6.90443508416334e-06
2.5745157480709e-09 6.96233141046226e-06
3.61787318350119e-09 7.03665815962586e-06
4.7550853777802e-09 7.12852996183943e-06
5.98550996430451e-09 7.2390148081986e-06
7.30996104577702e-09 7.36911408833927e-06
8.72980404514792e-09 7.5197443554793e-06
1.02466507450357e-08 7.6917218452946e-06
1.18622265038442e-08 7.88575053821175e-06
1.35782958049546e-08 8.10241424386535e-06
1.53966049704647e-08 8.34217282591821e-06
1.73188287173829e-08 8.60536234330021e-06
1.93465113748124e-08 8.89219860637671e-06
2.14810024530176e-08 9.20278344849978e-06
2.37233808536991e-08 9.53711292788153e-06
2.6074370050247e-08 9.89508667729798e-06
2.85342390813889e-08 1.02765176944259e-05
3.11026969120445e-08 1.06811419920723e-05
3.37787658857688e-08 1.11086276775395e-05
3.65606535761037e-08 1.15585831669139e-05
3.94456021149804e-08 1.20305643830722e-05
4.24297321485338e-08 1.25240808860309e-05
4.55078699548843e-08 1.30386009674676e-05
4.86733675354378e-08 1.35735557991977e-05
5.19179044420445e-08 1.41283427581444e-05
5.52312861295233e-08 1.47023280675603e-05
5.86012251121917e-08 1.52948489039237e-05
6.20131168980097e-08 1.59052151080572e-05
6.54498030844629e-08 1.65327106393791e-05
6.88913300709027e-08 1.71765948930287e-05
7.23147015600908e-08 1.78361039942531e-05
7.56936242057157e-08 1.85104521721396e-05
7.89982556081151e-08 1.91988332965759e-05
8.21949545301184e-08 1.99004226714603e-05
8.52460396604606e-08 2.06143791460898e-05
8.81095660350896e-08 2.13398476216424e-05
9.07391272677077e-08 2.20759620102461e-05
9.30836985372791e-08 2.28218487088935e-05
9.50875447407415e-08 2.35766306369573e-05
9.66902184386493e-08 2.43394318936876e-05
9.78266969329569e-08 2.51093830763008e-05
9.84277185522759e-08 2.58856272934645e-05
9.84204302577058e-08 2.66673269162608e-05
9.7729502006815e-08 2.74536710767494e-05
9.62789915438828e-08 2.82438839263411e-05
9.39954311799913e-08 2.90372336449851e-05
9.08129963005281e-08 2.98330421675362e-05
8.66823807374829e-08 3.06306955753303e-05
8.15865854883211e-08 3.14296550554308e-05
7.55702310420367e-08 3.22294683029821e-05
6.8796343497402e-08 3.3029781191295e-05
6.16591870800263e-08 3.38303494649695e-05
5.49998567104744e-08 3.46310501809505e-05
5.0421999093654e-08 3.54318925093716e-05
5.03103650285868e-08 3.62330274683698e-05
5.6649193517518e-08 3.70347560530461e-05
6.95531227083668e-08 3.78375351592694e-05
8.78752319147049e-08 3.86419806003302e-05
1.10498928045133e-07 3.94488664574011e-05
1.36695778248107e-07 4.02591199334688e-05
1.66010945924659e-07 4.10738108506177e-05
1.98120844008353e-07 4.18941349252017e-05
2.32741890970648e-07 4.27213900025867e-05
2.69576126420037e-07 4.35569445171492e-05
3.08276848123439e-07 4.44021976168221e-05
3.48424797279292e-07 4.52585306137275e-05
3.89510358616981e-07 4.61272497334901e-05
4.30919852198305e-07 4.70095205128966e-05
4.71925408860791e-07 4.79062946423651e-05
5.11678614906973e-07 4.8818230542058e-05
5.49208633167181e-07 4.974560947947e-05
5.83425718585522e-07 5.06882495570127e-05
6.13131267410481e-07 5.16454203694708e-05
6.37035526561689e-07 5.26157615455479e-05
6.53784131002516e-07 5.35972086835226e-05
6.61994496686301e-07 5.45869303564128e-05
6.60302964016576e-07 5.55812798723186e-05
6.47423570031674e-07 5.65757653236446e-05
6.22219719383977e-07 5.75650411396776e-05
5.83791776103281e-07 5.85429238806582e-05
5.31589407119037e-07 5.95024344146202e-05
4.65576286509966e-07 6.04358678874765e-05
3.86541727493502e-07 6.13348920991088e-05
2.96938519113834e-07 6.21906740340618e-05
2.04174830952504e-07 6.29940333910428e-05
1.37326227499774e-07 6.37356210494853e-05
1.66863138548017e-07 6.44061195151192e-05
2.73784800000921e-07 6.49964615226487e-05
4.04489458541274e-07 6.54980621739838e-05
5.41702358637802e-07 6.59030592762611e-05
6.78101220570477e-07 6.62045559351505e-05
8.08627645412288e-07 6.63968589937417e-05
9.29026612894403e-07 6.64757065911197e-05
1.0355848247912e-06 6.6438477975341e-05
1.12515989301093e-06 6.62843787410122e-05
1.19528504852661e-06 6.60145948658212e-05
1.24427888816193e-06 6.56324092729132e-05
1.27132902200504e-06 6.51432751176203e-05
1.27653290859128e-06 6.45548405374929e-05
1.26088699503807e-06 6.38769201899647e-05
1.226221217037e-06 6.31214094914178e-05
1.17508114165321e-06 6.23021380912427e-05
1.11056467137752e-06 6.14346598172234e-05
1.03612404920402e-06 6.05359772656088e-05
9.55346725600179e-07 5.96242006039947e-05
8.71730457926007e-07 5.87181423105808e-05
7.88469029484765e-07 5.78368528233166e-05
7.08265656090615e-07 5.69991066617985e-05
6.33191696322072e-07 5.62228545381682e-05
5.64608024095433e-07 5.55246638936771e-05
5.03163104918475e-07 5.49191772316802e-05
4.48871973618151e-07 5.44186230667503e-05
4.01262838738276e-07 5.40324164409147e-05
3.59558005643439e-07 5.37668831450737e-05
3.2284498566148e-07 5.36251332522016e-05
2.90202160196635e-07 5.36070959049171e-05
2.60770298226632e-07 5.37097106504328e-05
2.33794195578168e-07 5.39272541281082e-05
2.08683870455623e-07 5.42517678656789e-05
1.85158547102713e-07 5.4673545695096e-05
1.63545700948521e-07 5.51816386076048e-05
1.45297833516435e-07 5.57643399483346e-05
1.33592863595547e-07 5.64096227149224e-05
1.33058272582931e-07 5.7105511106546e-05
1.4716337837728e-07 5.78403783614797e-05
1.75513329230946e-07 5.86031710121542e-05
2.15059152720123e-07 5.93835654106717e-05
2.62602357344995e-07 6.01720657454445e-05
3.1564445028461e-07 6.09600541851304e-05
3.72268806251019e-07 6.17398037731863e-05
4.3091210533129e-07 6.25044637676894e-05
4.90224936281107e-07 6.32480257409846e-05
5.49007436670273e-07 6.39652771948773e-05
6.06185748946279e-07 6.4651747955886e-05
6.60807282910859e-07 6.53036532784384e-05
7.12042891388517e-07 6.59178364553505e-05
7.59190198144549e-07 6.64917128333673e-05
8.01675254928906e-07 6.70232164421474e-05
8.39051508259045e-07 6.75107499064202e-05
8.70995893682325e-07 6.79531379587173e-05
8.97302276175803e-07 6.83495845968779e-05
9.17872742471331e-07 6.86996337733367e-05
9.32707288738943e-07 6.9003133396921e-05
9.41892461191539e-07 6.92602023800732e-05
9.45589434912105e-07 6.94712004418967e-05
9.44022037888683e-07 6.96367003858146e-05
9.37465015001436e-07 6.97574625764829e-05
9.26232881272137e-07 6.98344113859736e-05
9.10669549360303e-07 6.98686133854115e-05
8.91138879472421e-07 6.98612571055733e-05
8.68016278005937e-07 6.98136342082193e-05
8.41681322515692e-07 6.97271219402581e-05
8.12511473311235e-07 6.96031667668434e-05
7.80876808159349e-07 6.94432690976073e-05
7.47135736806501e-07 6.92489690400232e-05
7.11631622464615e-07 6.90218331273851e-05
6.7469024251999e-07 6.87634419844354e-05
6.3661799746082e-07 6.84753788960883e-05
5.97700792203884e-07 6.81592192652446e-05
5.58203519059194e-07 6.78165209378687e-05
5.02774283707938e-07 6.74488661425708e-05
4.48968704158817e-07 6.70589114406911e-05
4.11431884814729e-07 6.6649239540301e-05
3.74351160463219e-07 6.62212530789462e-05
3.37862539202087e-07 6.57762459038462e-05
3.02089807567677e-07 6.53154500502259e-05
2.67148881680851e-07 6.48400326058616e-05
2.33154384012241e-07 6.43510933465859e-05
