Error_NR Error_NR_EX
9.39954311799913e-08 6.39415080109996e-10
9.08129963005281e-08 6.75560141834665e-10
8.66823807374829e-08 7.13045180587428e-10
8.15865854883211e-08 7.51793831867869e-10
7.55702310420367e-08 7.91709542071406e-10
6.8796343497402e-08 8.32673143853402e-10
6.16591870800263e-08 8.74541966654078e-10
5.49998567104744e-08 9.1714658390408e-10
5.0421999093654e-08 9.60290016235139e-10
5.03103650285868e-08 1.00374493633333e-09
5.6649193517518e-08 1.04725236105516e-09
6.95531227083668e-08 1.09051961298287e-09
8.78752319147049e-08 1.13321953742705e-09
1.10498928045133e-07 1.1749888086261e-09
1.36695778248107e-07 1.21542746935422e-09
1.66010945924659e-07 1.25409934842918e-09
1.98120844008353e-07 1.29053212155917e-09
2.32741890970648e-07 1.32421880770095e-09
2.69576126420037e-07 1.3546200937153e-09
3.08276848123439e-07 1.38116840609416e-09
3.48424797279292e-07 1.40327146144427e-09
3.89510358616981e-07 1.42031990242856e-09
4.30919852198305e-07 1.43169422785109e-09
4.71925408860791e-07 1.43677497672236e-09
5.11678614906973e-07 1.43495418404596e-09
5.49208633167181e-07 1.42564906097506e-09
5.83425718585522e-07 1.40831825494342e-09
6.13131267410481e-07 1.3824794071521e-09
6.37035526561689e-07 1.347730232534e-09
6.53784131002516e-07 1.30377141102117e-09
6.61994496686301e-07 1.25043185686809e-09
6.60302964016576e-07 1.18769779075407e-09
6.47423570031674e-07 1.11574592210918e-09
6.22219719383977e-07 1.03498359041781e-09
5.83791776103281e-07 9.46101412007505e-10
5.31589407119037e-07 8.50150304063114e-10
4.65576286509966e-07 7.48669847828568e-10
3.86541727493502e-07 6.43927773878525e-10
2.96938519113834e-07 5.39410477991279e-10
2.04174830952504e-07 4.4087560752153e-10
1.37326227499774e-07 3.58429464624767e-10
1.66863138548017e-07 3.08578912304927e-10
2.73784800000921e-07 3.07670822168418e-10
4.04489458541274e-07 3.53242517604571e-10
5.41702358637802e-07 4.26053750429438e-10
6.78101220570477e-07 5.08888505712059e-10
8.08627645412288e-07 5.91344300896826e-10
9.29026612894403e-07 6.67268947864167e-10
3.11654454412795e-15 7.32686038802348e-10
3.10862446895044e-15 7.84807580798082e-10
3.10862446895044e-15 8.21603351345997e-10
3.14018491736755e-15 8.41612922073561e-10
2.99760216648792e-15 8.4386036483854e-10
2.86568757593482e-15 8.27813833106058e-10
2.52575738102223e-15 7.93364239397672e-10
2.22044604925031e-15 7.40819088927551e-10
2.01069941544172e-15 6.70921541357681e-10
1.55431223447522e-15 5.84939400488096e-10
9.15513359704447e-16 4.84964763070873e-10
9.55346725600179e-07 3.7494810005477e-10
8.71730457926007e-07 2.64868232685047e-10
7.88469029484765e-07 1.88937739721114e-10
7.08265656090615e-07 2.2044035179538e-10
6.33191696322072e-07 3.45707907236202e-10
5.64608024095433e-07 5.08169638184574e-10
5.03163104918475e-07 6.88168434416834e-10
4.48871973618151e-07 8.79428773927878e-10
4.01262838738276e-07 1.07920090955749e-09
3.59558005643439e-07 1.28592951121968e-09
3.2284498566148e-07 1.49857825925292e-09
2.90202160196635e-07 1.71638117804972e-09
2.60770298226632e-07 1.93872784958758e-09
2.33794195578168e-07 2.16509661383272e-09
2.08683870455623e-07 2.39501051605183e-09
1.85158547102713e-07 2.62800275506424e-09
1.63545700948521e-07 2.86359079725726e-09
1.45297833516435e-07 3.10125585543959e-09
1.33592863595547e-07 3.34042825182161e-09
1.33058272582931e-07 3.58047789538442e-09
1.4716337837728e-07 3.8207091890468e-09
1.75513329230946e-07 4.06036102308328e-09
2.15059152720123e-07 4.29861072078011e-09
2.62602357344995e-07 4.53458069470928e-09
3.1564445028461e-07 4.76734856194796e-09
3.72268806251019e-07 4.99595915783877e-09
4.3091210533129e-07 5.21943799509555e-09
4.90224936281107e-07 5.43680506326284e-09
5.49007436670273e-07 5.64708949121061e-09
6.06185748946279e-07 5.84934349304565e-09
6.60807282910859e-07 6.04265556822513e-09
7.12042891388517e-07 6.22616263240965e-09
7.59190198144549e-07 6.39906056879247e-09
8.01675254928906e-07 6.56061375013877e-09
8.39051508259045e-07 6.71016204592657e-09
8.70995893682325e-07 6.84712673082627e-09
8.97302276175803e-07 6.97101475673742e-09
9.17872742471331e-07 7.08142069881407e-09
9.32707288738943e-07 7.17802817176185e-09
9.41892461191539e-07 7.26060893414511e-09
9.45589434912105e-07 7.32902131377603e-09
9.44022037888683e-07 7.3832075958307e-09
9.37465015001436e-07 7.42319040682978e-09
9.26232881272137e-07 7.44906800557897e-09
9.10669549360303e-07 7.4610098096143e-09
8.91138879472421e-07 7.459250850724e-09
8.68016278005937e-07 7.44408615788473e-09
8.41681322515692e-07 7.41586536519076e-09
8.12511473311235e-07 7.37498646577508e-09
7.80876808159349e-07 7.32189035292747e-09
7.47135736806501e-07 7.25705517795349e-09
7.11631622464615e-07 7.18099105585634e-09
6.7469024251999e-07 7.09423461425109e-09
6.3661799746082e-07 6.99734444033802e-09
5.97700792203884e-07 6.89089620881376e-09
5.58203519059194e-07 6.77547860393545e-09
5.02774283707938e-07 6.65169929260113e-09
4.48968704158817e-07 6.52038578593682e-09
4.11431884814729e-07 6.38234706825407e-09
3.74351160463219e-07 6.23816266584752e-09
3.37862539202087e-07 6.08839587036439e-09
3.02089807567677e-07 5.9336018389304e-09
2.67148881680851e-07 5.77432625352364e-09
2.33154384012241e-07 5.6111039018558e-09
2.00230585409602e-07 5.44445750668931e-09
1.68531610918559e-07 5.2748968164375e-09
1.38282896362851e-07 5.10291803509174e-09
1.09876062030303e-07 4.92900280805468e-09
8.4109420695612e-08 4.75361826872064e-09
6.28238072314127e-08 4.57721641099226e-09
5.01215314199646e-08 4.40023386564033e-09
5.0957880365542e-08 4.2230917796342e-09
6.3500124758575e-08 4.04619597816178e-09
8.15911713809822e-08 3.86993635807529e-09
1.015705136615e-07 3.69468744248321e-09
1.21914966041901e-07 3.52080810758405e-09
1.41976259978885e-07 3.34864187295944e-09
1.61449637134984e-07 3.17851685603229e-09
1.80177710665464e-07 3.01074573510153e-09
1.98072630113544e-07 2.84562604782022e-09
2.15081996642201e-07 2.68344016661472e-09
2.31172535837736e-07 2.52445544432972e-09
2.46321667040879e-07 2.36892415262624e-09
2.60512890491697e-07 2.21708370135734e-09
2.73733150106527e-07 2.06915665833616e-09
2.85971294953732e-07 1.92535079389583e-09
2.97217183222442e-07 1.78585913754128e-09
3.07461186161094e-07 1.65086013985883e-09
3.16693952932388e-07 1.52051760526573e-09
3.24906353626258e-07 1.39498134137091e-09
3.32089548721519e-07 1.27438681904289e-09
3.38235151743604e-07 1.15885611315097e-09
3.43335460631175e-07 1.04849802422068e-09
3.47383744103116e-07 9.43409451486768e-10
