Tiempo_total_NR Tiempo_total_NR_EX tiempo_puntos_NR tiempo_puntos_NR_EX
225.6834162 253.5994154 0.4087976 0.4611628
226.0890192 254.0545657 0.405603 0.4551503
226.5003822 254.513686 0.411363 0.4591203
226.9145641 254.9677287 0.4141819 0.4540427
227.3337827 255.4244849 0.4192186 0.4567562
227.7442542 255.8811039 0.4104715 0.456619
228.1536779 256.3473482 0.4094237 0.4662443
228.5644561 256.8073875 0.4107782 0.4600393
229.0181325 257.2702387 0.4536764 0.4628512
229.5068111 257.7336043 0.4886786 0.4633656
229.9198773 258.1923008 0.4130662 0.4586965
230.3317637 258.6496724 0.4118864 0.4573716
230.7428205 259.1163991 0.4110568 0.4667267
231.1590794 259.5768239 0.4162589 0.4604248
231.5734515 260.0397571 0.4143721 0.4629332
231.9871257 260.5011884 0.4136742 0.4614313
232.4011046 260.9587391 0.4139789 0.4575507
232.8152703 261.4262923 0.4141657 0.4675532
233.2288225 262.1431104 0.4135522 0.7168181
233.6400227 262.7504371 0.4112002 0.6073267
234.0525847 263.2217531 0.412562 0.471316
234.46612 263.6811884 0.4135353 0.4594353
234.878732 264.1474462 0.412612 0.4662578
235.2876699 264.6342197 0.4089379 0.4867735
235.7056676 265.100789 0.4179977 0.4665693
236.2132406 265.5544135 0.507573 0.4536245
236.6569653 266.0151964 0.4437247 0.4607829
237.0653792 266.4776796 0.4084139 0.4624832
237.5675523 266.9447136 0.5021731 0.467034
237.9857656 267.4022873 0.4182133 0.4575737
238.4734438 267.8625629 0.4876782 0.4602756
238.8870325 268.3251535 0.4135887 0.4625906
239.2999522 268.782922 0.4129197 0.4577685
239.7143445 269.2391391 0.4143923 0.4562171
240.1340581 269.7053323 0.4197136 0.4661932
240.5454181 270.166548 0.41136 0.4612157
240.9641519 270.6268705 0.4187338 0.4603225
241.4146372 271.0901671 0.4504853 0.4632966
241.824422 271.5589671 0.4097848 0.4688
242.2384632 272.0241066 0.4140412 0.4651395
242.6551573 272.4771167 0.4166941 0.4530101
243.0741526 272.936231 0.4189953 0.4591143
243.4843048 273.399508 0.4101522 0.463277
243.8934956 273.855523 0.4091908 0.456015
244.3046331 274.3175318 0.4111375 0.4620088
244.7233772 274.7747098 0.4187441 0.457178
245.1355843 275.2349249 0.4122071 0.4602151
245.5535006 275.6941847 0.4179163 0.4592598
245.9705728 276.1554763 0.4170722 0.4612916
246.3799761 276.6184777 0.4094033 0.4630014
246.8145391 277.0821231 0.434563 0.4636454
247.2256729 277.5443385 0.4111338 0.4622154
247.6412559 278.0072683 0.415583 0.4629298
248.2301904 278.4585831 0.5889345 0.4513148
248.7179692 278.9202225 0.4877788 0.4616394
249.1207614 279.3800296 0.4027922 0.4598071
249.5332591 279.8360721 0.4124977 0.4560425
249.9466688 280.2974586 0.4134097 0.4613865
250.3571558 280.7591749 0.410487 0.4617163
250.7704427 281.2218935 0.4132869 0.4627186
251.181059 281.6902928 0.4106163 0.4683993
251.6005755 282.1516811 0.4195165 0.4613883
252.0111873 282.6092113 0.4106118 0.4575302
252.4242628 283.0757899 0.4130755 0.4665786
252.8412429 283.542713 0.4169801 0.4669231
